Serial,Team Lead,Operator,Start,Finish,Host Serial,Index,Passed,Time,Firmware Test,MAC,Time.1,Serial Test,Time.2,Self-Test Test,Result,Unloaded3V3,Loaded3V3,Unloaded6V,Loaded6V,T1Freq,T1Cur,T2Freq,T2Cur,TDFreq,C1Freq,C2Freq,Time.3,Program Test,Time.4,Batch Test,Time.5,Bluetooth Test,RSSI,MAC.1,Time.6,LED Test,CurrentBase,CurrentG,CurrentR,Time.7,Button Test,Time.8,Metadata Test,Test Type,Version,Component,Batch,Sponsorship,Expiry,Firmware,Description,Time.9
101010960,KMANE,KMANE,2021-08-06T08:52:57.3911120+10:00,2021-08-06T08:53:01.8597886+10:00,682581923,3,True,4468,True,FD:E7:6D:F8:22:FC,1929,True,0.0,True,0.0,3154.0,3026.0,5961.0,4927.0,10407.0,3189.0,10423.0,2021.0,279.0,7617.0,7373.0,58.0,True,17.0,True,48.0,True,-51.0,FD:E7:6D:F8:22:FC,1245.0,True,3148.0,4723.0,4898.0,305.0,True,587.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,273.0
101010961,KMANE,KMANE,2021-08-06T09:19:30.8922449+10:00,2021-08-06T09:19:35.5667604+10:00,682630989,1,True,4674,True,FA:5E:05:41:17:B0,1781,True,0.0,True,0.0,3135.0,2990.0,6004.0,4959.0,7573.0,3291.0,10252.0,2090.0,853.0,7714.0,7714.0,53.0,True,17.0,True,50.0,True,-54.0,FA:5E:05:41:17:B0,1237.0,True,3157.0,4912.0,5393.0,662.0,True,593.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,274.0
101010962,KMANE,KMANE,2021-08-06T09:18:12.8057929+10:00,2021-08-06T09:18:17.0755448+10:00,682630989,1,True,4269,True,EC:44:CA:7E:A4:07,1943,True,0.0,True,0.0,3118.0,2898.0,5918.0,4739.0,7773.0,3307.0,11717.0,2069.0,758.0,7082.0,6870.0,14.0,True,249.0,True,88.0,True,-52.0,EC:44:CA:7E:A4:07,877.0,True,3167.0,4906.0,5058.0,207.0,True,597.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,288.0
101010963,KMANE,KMANE,2021-08-06T09:19:20.5678458+10:00,2021-08-06T09:19:24.5848234+10:00,682051906,2,True,4016,True,E0:4C:C6:06:08:C3,1858,True,0.0,True,0.0,3129.0,2977.0,5929.0,4889.0,7219.0,3189.0,9515.0,1999.0,84.0,7296.0,6819.0,51.0,True,16.0,True,35.0,True,-51.0,E0:4C:C6:06:08:C3,897.0,True,3153.0,4941.0,5152.0,292.0,True,589.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,270.0
101010964,KMANE,KMANE,2021-08-06T09:21:37.1852950+10:00,2021-08-06T09:21:42.2492091+10:00,682581923,3,True,5063,True,DD:1C:24:76:B8:AC,1992,True,0.0,True,0.0,3154.0,3006.0,6004.0,4857.0,8765.0,3302.0,5229.0,2048.0,519.0,7575.0,7451.0,6.0,True,17.0,True,49.0,True,-53.0,DD:1C:24:76:B8:AC,1412.0,True,3092.0,4783.0,5225.0,688.0,True,605.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,288.0
101010965,KMANE,KMANE,2021-08-06T08:56:19.8275848+10:00,2021-08-06T08:56:24.8382323+10:00,682449290,4,True,5010,True,CE:88:AD:26:8E:F6,1914,True,0.0,True,0.0,3127.0,2966.0,5892.0,4835.0,9962.0,3238.0,12518.0,2090.0,714.0,5655.0,6074.0,16.0,True,14.0,True,42.0,True,-51.0,CE:88:AD:26:8E:F6,1485.0,True,3244.0,5084.0,5213.0,647.0,True,599.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,287.0
101010966,KMANE,KMANE,2021-08-06T09:21:51.1362588+10:00,2021-08-06T09:21:55.7959845+10:00,682051906,2,True,4659,True,D9:93:D7:9D:A0:D9,1792,True,0.0,True,0.0,3092.0,2884.0,5806.0,4605.0,7989.0,3195.0,9826.0,2015.0,152.0,7270.0,7666.0,53.0,True,20.0,True,47.0,True,-51.0,D9:93:D7:9D:A0:D9,1467.0,True,3292.0,4975.0,5047.0,404.0,True,594.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,273.0
101010967,KMANE,KMANE,2021-08-06T09:21:20.8751547+10:00,2021-08-06T09:21:25.7763624+10:00,682051906,2,True,4901,True,DB:C4:6A:B4:A1:3C,1857,True,0.0,True,0.0,3123.0,2965.0,5886.0,4787.0,8467.0,3254.0,10506.0,2021.0,278.0,9020.0,8435.0,6.0,True,15.0,True,35.0,True,-52.0,DB:C4:6A:B4:A1:3C,1664.0,True,3183.0,4909.0,5068.0,446.0,True,600.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,273.0
101010968,KMANE,KMANE,2021-08-06T09:18:52.5615304+10:00,2021-08-06T09:18:56.5222279+10:00,682630989,1,True,3960,True,CC:C3:9B:20:D4:F5,1813,True,0.0,True,0.0,3098.0,2880.0,5843.0,4648.0,9031.0,3184.0,11049.0,2053.0,618.0,7680.0,7893.0,54.0,True,16.0,True,49.0,True,-53.0,CC:C3:9B:20:D4:F5,771.0,True,3305.0,5132.0,5534.0,379.0,True,601.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,271.0
101010969,KMANE,KMANE,2021-08-06T09:24:33.0496340+10:00,2021-08-06T09:24:37.6644416+10:00,682051906,2,True,4614,True,EC:08:1C:66:3F:1C,1718,True,0.0,True,0.0,3129.0,2959.0,5892.0,4750.0,7007.0,3168.0,9037.0,1999.0,318.0,7073.0,7293.0,41.0,True,225.0,True,97.0,True,-51.0,EC:08:1C:66:3F:1C,1307.0,True,3080.0,5016.0,5170.0,359.0,True,592.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,271.0
